IdVoie,TypeVoie,Voie
853,ALL,DES TULIPES
854,AV,RENE CASSAGNE
855,RUE,DU PORT
858,RUE,EDOUARD HERRIOT
859,RUE,TOUVENT
860,AV,GEORGES POMPIDOU
861,CHE,DE CAMASSON
863,RUE,DU FRERE OLIVE JEAN PIERRE
864,CHE,DE LA BELLE BOUCHE
865,RUE,DES LANDES
866,RUE,DE LA MEZIERE
868,RTE,DE GIERES
869,RUE,RENE MERICAM
870,BD,AMIRAL COURBET
871,RUE,DE BELLEVILLE
873,AV,DE FRANCE
874,RUE,DES PATURES
875,BD,VICTOR HUGO
876,AV,LOUISE
877,ALL,DES IFS
878,ALL,DE LA GUILLERAIE
879,AV,DES IBIS
880,RUE,D ILLIERS
881,RUE,DE FREMUR
882,RUE,ST LAZARE
883,RUE,DUPETIT THOUARS
884,RUE,FRANCOIS BONAL
885,RUE,DES HUGUENOTS
887,RUE,DE LA COMMANDERIE
889,RUE,DE FETAN BERR
890,RUE,GUYOMARD
891,RUE,ADOLPHE
893,RUE,COLBERT
894,RUE,HENRI BRISPOT
895,RUE,HENRI LAROCHE
896,RUE,GARIBALDI
897,IMP,D OSSAU
898,RUE,DU CASINO
899,RUE,DUGOMMIER
900,RUE,ROYET
901,RUE,HENRI PENSIER
903,RUE,PAUL PECHOUX
904,RUE,DU MONT D OR
905,RUE,DE FLORE
906,,VIA AQUAE
907,RTE,DES BAUGES
908,,IMM LES AVRIERES
909,RTE,DES GRANGETTES
910,ALL,DES POIRIERS
911,RTE,DU FEUG
912,AV,DU MAL FOCH
913,RUE,CREVOULIN
914,RUE,SAINT LIESNE
915,PL,DU VINGT SEPT AOUT
916,AV,DES CARROSSES
917,RUE,HEGESIPPE MOREAU
918,AV,DES FRENES
919,RUE,DU MOULIN A VENT
920,PL,JEAN BUREAU
921,RUE,DES FERMES
922,RUE,DES DEUX PORTES
923,RUE,MASSON
924,RTE,DE MONTESSON
925,RUE,DU PROFESSEUR TUFFIER
927,RTE,DE HOUDAN
929,CHE,DE SAINT JEAN DES VIGNES
930,AV,GENERAL LECLERC
931,ALL,ANCIEN TRAIN DES PIGNES
932,IMP,PIERRE
933,RUE,CURET BAS
934,,LES SAVELS
935,AV,BENOIT MALON
936,BD,DE CABRY
937,AV,NOCART
938,RES,LES FLEURS DES CHAMPS
939,RES,LE MAS DE LA MER
941,RUE,DES ESCUDIERS
943,ALL,DES OLIVIERS
944,RUE,DE COHORN
945,RTE,DE L AERODROME MFT
946,RUE,DE LA LIBERTE
947,QUAI,DE LA CHARITE
948,RUE,LOUIS ARAGON
949,,RUE FERDINAND BUISSON
950,RES,GD VOILIER 2 MERLIN MARINE
951,RES,LE GOELAND MERLIN OCEAN
952,AV,DU PDT RENE COTY
953,RUE,CAPITAINE ROOS
954,RUE,DES MINIMES
955,RTE,DU TROU DE TERRE
956,RUE,BERTRAND MAUPOME
957,AV,RENE CASSIN
958,RUE,DE LA PLATRERIE
960,RUE,DE VERDUN
961,BD,SAINT DENIS
962,RUE,VOLANT
963,AV,JULES QUENTIN
964,RUE,EUGENE EICHENBERGER
965,RUE,DE LA MELONNIERE
966,RUE,JEAN BONAL
969,BD,VOLTAIRE
