IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
594,2020-01-20,90450.0,Vente,582
595,2020-01-31,74000.0,Vente,583
596,2020-01-28,107000.0,Vente,584
597,2020-01-23,217000.0,Vente,585
598,2020-01-20,114000.0,Vente,586
599,2020-02-06,559950.0,Vente,587
600,2020-02-14,269000.0,Vente,588
601,2020-02-28,348800.0,Vente,589
602,2020-05-27,311500.0,Vente,590
603,2020-04-10,389350.0,Vente,591
604,2020-05-25,285000.0,Vente,592
605,2020-05-14,460000.0,Vente,593
606,2020-05-20,208000.0,Vente,594
607,2020-01-03,164000.0,Vente,595
608,2020-03-12,346000.0,Vente,596
609,2020-01-10,640000.0,Vente,597
610,2020-01-17,228000.0,Vente,598
611,2020-02-05,97225.0,Vente,599
612,2020-03-06,100800.0,Vente,600
613,2020-04-29,181500.0,Vente,600
614,2020-03-05,525000.0,Vente,601
615,2020-03-09,350500.0,Vente,602
616,2020-01-20,550000.0,Vente,603
617,2020-04-10,259000.0,Vente,604
618,2020-01-22,264000.0,Vente,605
619,2020-02-24,383500.0,Vente,606
620,2020-06-17,334000.0,Vente,606
621,2020-02-26,168000.0,Vente,607
622,2020-04-01,434434.0,Vente,608
623,2020-05-29,110000.0,Vente,609
624,2020-05-25,186473.0,Vente,610
625,2020-06-02,116000.0,Vente,611
626,2020-06-12,275000.0,Vente,612
627,2020-06-24,215000.0,Vente,613
628,2020-05-15,168000.0,Vente,614
629,2020-01-29,169000.0,Vente,615
630,2020-06-09,150000.0,Vente,616
631,2020-01-20,173000.0,Vente,617
632,2020-02-28,139130.0,Vente,618
633,2020-03-11,229100.0,Vente,619
634,2020-03-16,147500.0,Vente,620
635,2020-03-10,440000.0,Vente,621
636,2020-03-02,495000.0,Vente,622
637,2020-05-22,81000.0,Vente,623
638,2020-03-11,510000.0,Vente,624
639,2020-03-27,170000.0,Vente,625
640,2020-04-18,40000.0,Vente,626
641,2020-03-10,275000.0,Vente,627
642,2020-06-09,111300.0,Vente,628
643,2020-06-24,145000.0,Vente,629
644,2020-03-03,251500.0,Vente,630
645,2020-03-19,98000.0,Vente,631
646,2020-03-10,126000.0,Vente,632
647,2020-03-16,131500.0,Vente,633
648,2020-05-12,136000.0,Vente,634
649,2020-03-12,266960.0,Vente,635
650,2020-05-14,205000.0,Vente,636
651,2020-03-31,114500.0,Vente,637
652,2020-03-11,181970.0,Vente,638
653,2020-03-19,70000.0,Vente,639
654,2020-04-07,375000.0,Vente,640
655,2020-03-18,247000.0,Vente,641
656,2020-03-26,271000.0,Vente,641
657,2020-01-07,423000.0,Vente,642
658,2020-06-04,130000.0,Vente,643
659,2020-03-16,16300.0,Vente,644
660,2020-03-10,149000.0,Vente,645
661,2020-03-16,60000.0,Vente,646
662,2020-03-31,164000.0,Vente,647
663,2020-02-28,257000.0,Vente,648
664,2020-01-21,131705.0,Vente,649
665,2020-02-03,105000.0,Vente,650
666,2020-03-04,159900.0,Vente,651
667,2020-06-30,419150.0,Vente,652
668,2020-03-09,92000.0,Vente,653
669,2020-01-30,70000.0,Vente,654
670,2020-02-21,190000.0,Vente,655
671,2020-03-17,93585.0,Vente,656
672,2020-05-12,162500.0,Vente,657
673,2020-03-14,120000.0,Vente,658
674,2020-05-26,91791.25,Vente,659
675,2020-04-10,50000.0,Vente,660
676,2020-04-03,174850.0,Vente,661
677,2020-04-15,540000.0,Vente,662
678,2020-04-15,230000.0,Vente,663
679,2020-06-02,210000.0,Vente,664
680,2020-04-27,44000.0,Vente,665
681,2020-04-09,145900.0,Vente,666
682,2020-04-22,57000.0,Vente,667
683,2020-02-07,290000.0,Vente,668
684,2020-06-29,155000.0,Vente,669
685,2020-06-19,73000.0,Vente,670
686,2020-01-29,82500.0,Vente,671
687,2020-03-24,88900.0,Vente,672
688,2020-05-29,213400.0,Vente,673
